Date and Time,Start(ms), End(ms), Phase A, Phase B, Phase C, Neutral
26-Aug-2020 19:50:58,360,299,393,433,706,681
,,,457,386,705,691
,,,508,353,670,669
,,,558,326,601,625
,,,611,322,555,583
,,,646,327,505,534
,,,680,373,456,486
,,,702,435,412,446
,,,704,487,378,402
,,,682,537,339,361
,,,629,587,320,335
,,,563,634,321,325
,,,513,668,355,345
,,,464,695,405,386
,,,411,701,477,434
,,,374,694,520,481
,,,343,649,534,514
,,,319,589,616,565
,,,314,534,647,608
,,,337,485,686,652
,,,390,435,705,680
,,,454,388,705,691
,,,508,354,671,669
,,,556,323,620,625
,,,599,320,557,580
,,,645,325,508,538
,,,678,371,458,491
,,,701,431,415,449
,,,704,486,379,405
,,,684,535,336,358
26-Aug-2020 19:50:58,420,479,631,585,321,335
,,,566,633,321,324
,,,514,667,356,345
,,,466,696,403,385
,,,413,698,467,433
,,,376,695,516,480
,,,345,651,563,528
,,,320,592,613,575
,,,316,539,645,610
,,,335,487,684,651
,,,388,438,705,680
,,,452,389,706,691
,,,506,356,674,672
,,,549,326,590,633
,,,577,321,554,584
,,,644,325,507,542
,,,676,370,462,494
,,,701,427,421,447
,,,705,484,386,413
,,,686,533,341,365
,,,633,592,315,336
,,,569,631,319,326
,,,517,666,352,346
,,,470,696,398,389
,,,415,699,464,433
,,,376,697,516,476
,,,347,655,561,525
,,,320,595,609,567
,,,317,540,644,607
,,,333,489,683,649
26-Aug-2020 19:50:58,480,539,385,440,705,679
,,,450,391,706,691
,,,504,357,676,675
,,,550,327,628,640
,,,591,322,562,587
,,,643,324,508,536
,,,675,368,465,492
,,,701,425,412,448
,,,706,478,382,405
,,,687,531,343,364
,,,635,572,320,335
,,,570,630,321,324
,,,517,664,352,340
,,,471,696,399,379
,,,418,700,464,428
,,,372,698,514,476
,,,346,657,559,523
,,,319,599,610,568
,,,316,538,646,604
,,,331,491,681,646
,,,384,442,705,678
,,,447,391,705,691
,,,503,359,677,674
,,,548,326,634,632
,,,603,323,551,585
,,,642,324,512,542
,,,675,366,468,495
,,,700,421,421,446
,,,704,479,381,407
,,,689,530,344,367
26-Aug-2020 19:50:58,540,599,637,580,321,337
,,,572,629,320,325
,,,519,662,348,341
,,,482,695,393,380
,,,419,700,458,427
,,,378,698,516,474
,,,347,658,540,522
,,,320,599,608,567
,,,316,545,644,605
,,,330,492,681,647
,,,382,444,704,677
,,,445,393,706,690
,,,501,361,679,677
,,,547,328,630,633
,,,581,323,565,590
,,,640,324,510,546
,,,672,364,471,498
,,,700,421,415,449
,,,705,479,383,410
,,,691,524,345,367
,,,639,577,321,338
,,,576,628,319,324
,,,520,661,346,339
,,,473,696,394,378
,,,421,699,458,428
,,,379,698,510,477
,,,350,652,557,521
,,,321,602,606,565
,,,316,545,638,606
,,,329,494,679,647
26-Aug-2020 19:50:58,600,659,380,446,704,678
,,,442,394,706,691
,,,499,362,681,679
,,,544,329,634,631
,,,597,322,568,584
,,,640,322,515,543
,,,672,363,470,497
,,,700,417,418,449
,,,702,478,385,409
,,,692,526,347,367
,,,641,573,321,337
,,,581,626,320,324
,,,521,659,346,335
,,,476,694,391,376
,,,423,699,456,425
,,,380,699,510,478
,,,350,662,567,512
,,,321,604,604,561
,,,317,566,639,601
,,,327,496,679,644
,,,378,448,704,676
,,,440,396,706,691
,,,497,363,682,679
,,,542,330,635,637
,,,595,322,565,588
,,,639,322,519,547
,,,669,360,472,503
,,,699,413,420,454
,,,704,475,388,413
,,,694,523,346,367
26-Aug-2020 19:50:58,660,719,642,573,322,338
,,,581,625,319,324
,,,522,658,343,336
,,,477,693,390,375
,,,426,699,455,424
,,,381,699,504,467
,,,350,663,555,518
,,,322,606,602,563
,,,317,546,639,601
,,,326,497,677,642
,,,376,449,701,675
,,,437,397,706,690
,,,497,364,683,680
,,,542,329,637,636
,,,584,321,572,586
,,,638,322,522,546
,,,670,359,466,502
,,,698,412,422,454
,,,704,473,394,420
,,,695,523,348,371
,,,645,572,322,341
,,,583,623,318,326
,,,524,656,341,338
,,,480,692,389,374
,,,421,699,454,422
,,,383,692,505,468
,,,352,666,538,514
,,,322,609,602,564
,,,316,546,637,601
,,,325,498,677,642
26-Aug-2020 19:50:58,720,779,375,451,702,675
,,,436,398,706,691
,,,495,366,684,681
,,,539,330,636,627
,,,584,322,572,588
,,,639,322,521,546
,,,668,359,476,503
,,,698,411,416,444
,,,703,472,386,408
,,,696,521,346,368
,,,646,566,321,338
,,,586,622,319,324
,,,525,656,341,334
,,,481,691,388,372
,,,427,699,451,418
,,,384,699,503,465
,,,352,668,567,510
,,,323,611,603,560
,,,315,550,636,599
,,,324,500,676,640
,,,374,452,703,674
,,,434,399,705,690
,,,494,366,685,681
,,,538,330,640,642
,,,591,322,575,589
,,,641,322,523,548
,,,668,356,487,504
,,,698,410,411,446
,,,704,470,387,415
,,,695,520,350,372
26-Aug-2020 19:50:58,780,839,647,568,323,341
,,,587,621,319,324
,,,526,654,340,336
,,,482,690,381,371
,,,429,699,451,412
,,,383,701,502,462
,,,353,668,542,520
,,,323,615,603,566
,,,317,551,635,599
,,,323,502,674,639
,,,372,454,702,673
,,,432,401,707,689
,,,492,368,687,681
,,,537,332,643,643
,,,589,322,577,593
,,,637,321,525,552
,,,668,354,477,505
,,,697,407,427,455
,,,703,469,388,421
,,,698,519,352,376
,,,649,568,323,342
,,,585,620,319,326
,,,527,653,338,332
,,,482,689,382,369
,,,431,700,448,419
,,,380,700,499,460
,,,354,670,569,532
,,,318,616,599,569
,,,316,554,634,602
,,,322,503,672,642
26-Aug-2020 19:50:58,840,899,371,456,701,674
,,,430,402,707,690
,,,491,369,687,684
,,,533,329,643,645
,,,594,322,578,595
,,,634,323,526,553
,,,666,353,483,511
,,,696,405,429,464
,,,705,467,391,419
,,,699,518,351,376
,,,650,564,324,341
,,,591,619,319,325
